	UserName	Date	Time	Longitude	Latitude	Tweet
44	Becky Chaffee	2016-04-16	3:30	-93.27607990000001	44.97827	mschwandt get #whitelightriot first avenu 7th st entri http tco t2atdov08g
45	Jesús León Jr.	2016-04-16	3:30	-110.97547320000001	29.08872722	tiendasoxxo en bah de kino bahia de kino http tco 6ua29ri4rm
46	Kyiakhalid	2016-04-16	3:30	-103.851776	20.881742000000003	estoy enamorado con la diosa del agav destileria rubio tequila jalisco http tco hoktbejgm
47	Pabeℓℓo	2016-04-16	3:30	-98.94570923	19.41864777	teatro auditorio acolmixtli nezahualcoyotl http tco ckl 8wl2koj
48	Dénouement	2016-04-16	3:30	-104.98748390000002	39.86888143	psa winter storm come cdot prepar april 15 2016 25 http tco xsdfruvhdg
49	Big Dome	2016-04-16	3:30	-82.44230999999999	27.96032	post photo reservoir bar http tco s2gwms6ctk
50	CORY PAUL MARTIN	2016-04-16	3:30	-73.9721	40.76552	stole night @thepierreni #saveven @dolcegabbana http tco dvcfajkdl 7
51	Miguel A. Hernandez	2016-04-16	3:30	-99.2097252	19.34082392	bam bam burger http tco 5hx3stahbo http tco vqaqyspk 1
52	Dr. Joseph Santoro	2016-04-16	3:30	-75.05503144	38.45124959	fenwick island lighthou fenwick island de http tco xuqjctu 847
53	El	2016-04-16	3:30	-84.34192558	33.77576344	shoutout hot date drive 6 hour come como day half even though http tco cdzkpewhbm
54	Jeremy Bates	2016-04-16	3:30	-99.9622	49.8381	drink honker ale @gooseisland tea http tco xkqel 9uz1t
55	Orion Ng	2016-04-16	3:30	-97.13972222	49.80916667	score remain knot 1 gun fire 3rd period http tco 5pvkjjpo8q
56	Francisco Garcia	2016-04-16	3:30	-84.29777778	33.77138889	@kylemohan mx5 beauti piec @mssrfcali #fdlb #formuladrift http tco holpbddba 4
57	Ter	2016-04-16	3:30	-84.47112998	42.7239961	put word amaz tonight hard work final paid http tco l0tv8fzsup
58	Lb	2016-04-16	3:30	-81.53627499	41.44987145	get along wit nobodi crazi harvard ave http tco ujxd 5gktja
59	Natalina  Campagnolo	2016-04-16	3:30	-80.28679659999999	43.5801735	chicken parmigiana #homemad la cucina di natalina italian cook school http tco jczbxvniz 5
60	✨Caitlyn Juhl✨	2016-04-16	3:30	-92.917172	43.373169	alway good bad day today bad day suffer leg pain http tco eyadxb 6cdi
61	tania aketzali	2016-04-16	3:30	-99.14666654	19.32265278	vine por la cena quesadilla chayo ciudad de xico distrito feder http tco tv2kbpxw36
62	Mel Smith Makeup	2016-04-16	3:30	-84.69423990000001	33.8726	3 great product 3 amaz women @themakeupbullet @dablot @melsmithmakeup women http tco rcj 1v6ywf1
63	Regina Falange	2016-04-16	3:30	-99.14695841	19.43520152	huarach al pastor challeng accept el caif n http tco owkkpflegh http tco oyev 5mwiwz
64	Police Calls 32822	2016-04-16	3:30	-81.30846140000001	28.493043	#suspiciousperson 4984 whaler way #orlpol #opd
65	Ashleigh	2016-04-16	3:30	-81.15947096	34.08708535	love spend friday night er nolan broke http tco pint 1cphi4
66	Police Calls 32807	2016-04-16	3:30	-81.311918	28.537972999999997	#commercialalarm 5600 lake underhil rd #orlpol #opd
67	tmwhickman	2016-04-16	3:30	-98.52711987	29.52234191	courtney great power decept demur antonian colleg preparatori http tco y3edvgjpz5
68	Police Calls 32804	2016-04-16	3:30	-81.3886998	28.572325199999998	#housebusinesscheck 2305 edgewat dr #orlpol #opd
69	Alex Sircy	2016-04-16	3:30	-88.32275261	36.6131102	turn lecra sick @lecra @alex_sirci lovett auditorium http tco qykdmxlz
70	SofterThanCotton	2016-04-16	3:30	-75.24193262	39.95660264	studio 7 loung philadelphia pa http tco paelzax 3rg
71	TOSFHQ O⊥S SJ	2016-04-16	3:30	-79.42759554	43.64039677	@1upvanngu 1 van vanilton
72	Axel GQ	2016-04-16	3:30	-103.3879352	20.72045414	total enorm extinct dinosaur lo arco de zapopan zapopan jal http tco cz0zbrriuw http tco 1xfhxrumyu
73	becca	2016-04-16	3:30	-79.41396944	44.61602279	@katie_vbrown best mate <3 couchich park http tco 4brlljxieh
74	Superior Spider-Dave	2016-04-16	3:30	-73.99333333	40.7625	#meow #graffiti #art #cat #catsofinstagram #hellskitchen #nyc hell kitchen manhattan http tco bpwzqyk 6iq
75	Dr. Sanjar G. Umarov	2016-04-16	3:30	-89.76521672	35.05824178	@joel57105 happi birth year
76	Hakuna Matata ❤	2016-04-16	3:30	-99.61308165	19.26060705	@yorkermetepec metepec estado de xico http tco okyy 8fqip0
77	Aurora ☀️	2016-04-16	3:30	-110.88686000000001	27.92411	show room de voil hoy estamo desd la 10 8 pm gracia por http tco dmsmr 8jad0
78	Cyle	2016-04-16	3:30	-117.91739479999998	33.80791011	stellabr cylebr food wine festiv disney california adventur http tco tfypihdvl
79	GDR-Sports	2016-04-16	3:30	-85.82941443	39.78133696	sport prep roundup 4/16 16 http tco zgb 7tzpua4
80	Scott Kline	2016-04-16	3:30	-118.387332	33.816963	lamb bologn #nomediocr nage vingt @zazourestaur redondo beach ca http tco qwu 9rniovh http tco xtrg 9ggf3r
81	felix zavala	2016-04-16	3:30	-99.16264594	19.3521908	@labipocoyoacan coyoacan df http tco kvh 0c638lb
82	Sean Pratt	2016-04-16	3:30	-118.15799999999999	33.8041	#dodgerblu long beach california http tco ox8ivjjbl
83	Kaci Beeler	2016-04-16	3:30	-97.74244817	30.26868014	great boy howdi show love peopl tech crew pictur http tco xhkxk 9cbrg
84	Patrick J Yuke	2016-04-16	3:30	-122.39357150000001	37.79595483	know fish swim #baybridg view wait line http tco 0fxbankexu
85	Colleen Kelsey	2016-04-16	3:30	-73.98736037	40.7222722	katz delicatessen http tco nipi 7qjzog
86	every lot chicago	2016-04-16	3:30	-87.69999	42.01639	2801 west fargo avenu http tco n9hq5q6sqf
87	Emmediciotto	2016-04-16	3:30	-118.41153249999999	33.88447325	manahatan beach california meet back itali moment inspir http tco eu8ejjo4if
88	GDR-Sports	2016-04-16	3:30	-85.82941443	39.78133696	sport mt vernon grad man behind scene purdu men hoop http tco amdlcl 0rzo
89	Nevada City Weather	2016-04-16	3:30	-121.05444440000001	39.24222222	wind 10 mph nw baromet 30140 rise temperatur 546 f rain today 001 humid 34
90	pell lake weather	2016-04-16	3:30	-88.35805556	42.54	temp 477 f dew point 353 wind e 16 mph gust 31 rain today 000 pressur 3022 trend rise slowli
91	Cyril Frésillon	2016-04-16	3:30	-73.95767056	40.71467017	#nyc #williamsburg #brooklyn #bridg #bu #transportpubl #subway williamsburg nyc http tco 2vfh1givk3
92	Rachel Mangum	2016-04-16	3:30	-85.48097175	34.83472479	miss way mom would come room rub back fell asleep miss http tco muvhr 5qdvi
93	Jeffrey	2016-04-16	3:30	-122.248278	38.126265000000004	never doll moment knife #isitswollen kaiser perman vallejo medic center http tco 6cmagmvhx0
94	Reloaded ♻️	2016-04-16	3:30	-84.492793	33.599819000000004	destini pregnant lawd
95	johnadeleon	2016-04-16	3:30	-101.8581533	33.59059931	@walmart superc lubbock tx http tco bpbk 6jdegt
96	AngieC	2016-04-16	3:30	-71.1036606	42.3883514	worshipp @bostonemiss #rumble2016 somervil http tco mydi 1sutxz
